category,code,attr,product_name,brands,ingredients_text,silver,sonnet45,gpt4o,gemini25flash,your_arbitrage
cheeses,4099200019147,texture,Österreichischer Butterkäse,Milfina,"Milch, Salz, Milchsäurebakterienkulturen, mikrobielles Lab.",,soft,,other,
cheeses,4061458077699,texture,"Mein Landkäse, würzig",Aldi,"Pasteurisierte Milch, mikrobleller Labaustauschstoff, Käsereikulturen (enthalten Milch), Speisesalz",,hard,,other,
cheeses,8721800400884,texture,Light,Leerdammer,"Leche pasteurizada de vaca, sal, fermentos lácticos (leche) y cuajo microbiano. Envasado en atmósfera protectora.",,hard,processed,other,
cheeses,8480000505453,texture,Havarti,HACENDADO,"_Leche_ pasteurizada de vaca, sal, cuajo, fermentos lácticos,",,soft,other,hard,
cheeses,8480000511102,texture,Mozzarella Pizza-Roma,HACENDADO,"LECHE pasteurizada de vaca, coagulante microbiano, fermentos lácticos y sal,",fresh,soft,other,fresh,
cheeses,8421691698345,texture,Queso de oveja cortado,Alipende,"Leche termizada de oveja, fermentos lácticos, sal y cuajo.",,hard,,other,
cheeses,8413950011163,texture,Queso semicurado en lonchas,Loran,"Leche pasteurizada de vaca (80% min.), leche pasteurizada de oveja (5% min.), fermentos lácteos seleccionados, cuajo, cloruro de calcio, sal, lisozima de huevo",,hard,processed,other,
cheeses,8413376037594,texture,Rulo de queso de cabra con papaya,Quesos El pastor,"LECHE pasteurizada de cabra, papaya,  sal, cuajo, secuestrante: cloruro cálcio y FERMENTOS Lácticos.",,fresh,,other,
cheeses,01612533,texture,Queso tipo provolone rebanado ahumado,Extra Special,"Leche entera pasteurizada de vaca, sal yodada, cloruro de calcio, cuajo y cultivos lácticos. Contiene: Leche.",,hard,processed,other,
cheeses,8480017226419,texture,Queso tierno cuña,Dia,"Leche pasteurizada de vaca (61% mín.), leche pasteurizada de cabra (12% mín.), leche pasteurizada de oveja (12% míri.), sal, estabilizante (cloruro cálcico), cuajo y fermentos lácticos. Origen de la leche: España.",,fresh,other,soft,
cheeses,8019514082282,texture,bacio di mucca mamma,Bennet,"LATTE, sale",fresh,soft,,fresh,
cereals,0016000401051,cereal_type,Multi Grain Cheerios,"General Mills,Cheerios","Whole grain oats, whole grain corn, sugar, corn starch, corn bran, whole grain rice, whole grain sorghum, whole grain millet, brown sugar syrup, salt, tripotassium phosphate, color (caramel color, annatto extract), vitamin e (mixed tocopherols), vitamins and minerals (calcium carbonate, zinc (minera",,other,mixed,oat_cereal,
cereals,8002816801279,cereal_type,Corn flakes,"Activity,Lameri","fiocchi di avena* 44,8%, zucchero di canna*, gocce di cioccolato fondente* 10% (zucchero di canna*, pasta di cacao*, burro di cacao*, estratto di vaniglia*), olio di semi di girasole* alto oleico, fiocchi di frumento* 6%, frumento duro soffiato* 5,3%, Cocco disidratato in scaglie*, semi di chia* 2,4",corn_flakes,muesli,mixed,oat_cereal,
cosmetics,00000561,body_area,Huile végétale coco,aroma-zone,cocos nucifera oil,hair,other,body,hair,
cosmetics,8004214000162,body_area,Torino Forti Sensazioni,Tcheon Fung Sing,"Aqua (Water), Stearic Acid, Cocos Nucifera Oil, Castor Oil, Potassium Hydroxide, Parfum (Fragrance), Argania Spinosa (Argan) Kernel Oil, Sodium Hydroxide, Linalool, Limonene",body,face,body,other,
