code,product_name,attr,silver,opus,reasoning
4061458102711,Bio-Penne aus grünen Erbsen,pasta_shape,noodles,penne,Override: product_name 'Bio-Penne aus grünen Erbsen' — explicit penne shape. Sil
8053904630707,Konnyaku mai,grain_type,mixed,other,Konnyaku/konjac flour-based — no grain. Schema 'other' fits konjac. OVERRIDE sil
3270190182108,Tagliatelles aux oeufs,pasta_shape,noodles,tagliatelle,"categories_tags en:tagliatelle, en:egg-tagliatelle. OVERRIDE silver 'noodles' (I"
3270190218630,Tagliatelles Bio,pasta_shape,noodles,tagliatelle,"categories_tags en:tagliatelle, en:egg-tagliatelle, fr:tagliatelles-fraiches; sc"
3250391535491,Tagliatelles,pasta_shape,noodles,tagliatelle,"categories_tags en:tagliatelle, en:egg-tagliatelle; schema has explicit tagliate"
7610695002222,Tagliatelle extra fraîche tricolore,pasta_shape,noodles,tagliatelle,Override: product_name 'Tagliatelle extra fraîche tricolore'. Silver said 'noodl
3175681259089,"céréales et légumes, façon pad thaï, bio",pasta_shape,noodles,spaghetti,spaghetti is the pasta component (40%); product is a frozen pad thai meal but th
3258561110905,Tagliatelles aux oeufs frais,pasta_shape,noodles,tagliatelle,"categories en:tagliatelle, en:egg-tagliatelle. OVERRIDE silver 'noodles' (Italia"
8076809537711,Nudeln Trofie,pasta_shape,noodles,other,trofie are short twisted Ligurian pasta — not Asian noodles; not in canonical sc
8436042308514,Fideos de arroz vermicelli,pasta_shape,noodles,vermicelli,categories_tags en:rice-vermicelli; product 'Fideos de arroz vermicelli'. OVERRI
0495804044464,Tagliatelle integrales al huevo,pasta_shape,noodles,tagliatelle,"categories_tags en:tagliatelle, en:egg-tagliatelle; product 'Tagliatelle integra"
8934563958404,Vermicelles de Riz (Bun Gao),pasta_shape,noodles,vermicelli,categories_tags includes en:rice-vermicelli; product_name 'Vermicelles de Riz (B
8934563958404,Vermicelles de Riz (Bun Gao),is_gluten_free,False,True,allergens_tags empty; ingredients = rice + pea starch + tapioca + salt — no glut
8480010290479,Tallarines al huevo,pasta_shape,noodles,tagliatelle,"categories_tags en:tagliatelle, en:egg-tagliatelle; 'Tallarines' = Spanish for t"
4018722343134,Bio Hartweizen Drelli,pasta_shape,noodles,other,Override: 'Drelli' is a small spiral/short cut shape; not in allowed list (and s
4000398254142,Bandnudeln,pasta_shape,noodles,tagliatelle,"shape regex ""bandnudel"" matched → tagliatelle"
4018462142509,Bunte Spiralen,pasta_shape,noodles,fusilli,"shape regex ""spiral"" matched → fusilli"
4013423910418,Hartweizen Nudeln Schlemmerlinge,pasta_shape,noodles,fusilli,"shape regex ""schlemmerling"" matched → fusilli"
4075600033853,Kartoffel-Schupfnudeln,pasta_shape,noodles,other,"Schupfnudeln are potato-based finger noodles, schema-wise closer to gnocchi/spät"
4021851541036,Pipette Rigate,pasta_shape,noodles,other,Override: 'Pipette Rigate' = small ribbed tubes/pipettes — not in allowed list. 
4005491005011,Bandnudeln 8 mm Original Hausmacher,pasta_shape,noodles,tagliatelle,"Override: 'Bandnudeln 8 mm' = ribbon noodles, the German equivalent of tagliatel"
9018500059696,Bio-Eierspätzle,pasta_shape,noodles,other,categories_tags include path to spätzle; Spätzle is short irregular Austrian/Ger
4316268455251,"Nudeln, Fusilli",pasta_shape,noodles,fusilli,"shape regex ""fusill"" matched → fusilli"
4305720077063,Manufaktur Trulli,pasta_shape,noodles,other,Trulli are small shell/twist-shaped pasta typical of Apulia; not a canonical sch
8053323644194,Penne,pasta_shape,noodles,penne,categories_tags en:penne; product_name 'Penne'. OVERRIDE silver 'noodles' (penne
4311596410620,Fusilli,pasta_shape,noodles,fusilli,Override: product_name 'Fusilli' — explicit named shape. Silver said 'noodles' b
9100000962801,Bio Dinkel Fleckerl,grain_type,wheat,spelt,Override: ingredients_text 'Dinkelmehl' (spelt flour); categories_tags=en:spelt-
9100000962801,Bio Dinkel Fleckerl,pasta_shape,noodles,other,Override: 'Fleckerl' are small square pasta flakes — not in allowed shape list →
4006040073031,Dinkel-Spirelli Vollkorn,grain_type,wheat,spelt,ingredient 'DINKELVOLLKORNMEHL' (whole spelt flour); OVERRIDE silver 'wheat' — D
4006040073031,Dinkel-Spirelli Vollkorn,pasta_shape,noodles,fusilli,product 'Dinkel-Spirelli Vollkorn' — Spirelli are spiral/fusilli-shaped pasta; c
4061458003834,Fusilli,pasta_shape,noodles,fusilli,"shape regex ""fusill"" matched → fusilli"
4316268502672,Bandnudeln,pasta_shape,noodles,tagliatelle,Bandnudeln are German wide ribbon egg pasta = tagliatelle. OVERRIDE silver 'nood
4066447122688,Vollkorn Farfalle,pasta_shape,noodles,farfalle,Override: product_name 'Vollkorn Farfalle'. Silver said 'noodles' but the explic
0087703327887,Udon noodles,pasta_shape,spaghetti,noodles,Udon are Japanese thick wheat noodles — categories tag en:spaghetti is misleadin
4009337903035,Trüffel-Ricotta-Tortelli (Nudeln gefüllt),pasta_shape,noodles,other,"OTHER-shape regex ""\btortelli\b"" matched in name/cats"
3560071189952,Pappardelle aux oeufs frais,pasta_shape,noodles,tagliatelle,"shape regex ""pappardell"" matched → tagliatelle"
2000000111459,Spaghetti,grain_type,wheat,spelt,ingredient 'Dinkelgrieß' (spelt semolina); allergens include de:dinkelgrieß — OV
2000000111459,Spaghetti,pasta_shape,noodles,spaghetti,categories_tags en:spaghetti; product 'Spaghetti'. OVERRIDE silver 'noodles'
8436535010146,Spaghetti de maíz,grain_type,mixed,corn,Override: ingredients_text 'Harina de maíz* (86%)' (corn flour 86%); silver said
