code,product_name,brands,generic_name,categories_tags,ingredients_text,silver,gpt4omini,gptoss,llama3b,status,enum_choices,your_arbitrage,note,auto_arbitrage,auto_reason
4005491005011,Bandnudeln 8 mm Original Hausmacher,Hofladen,Eiernudeln,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:noodles,en:egg-pastas","_Hartweizengrieß_, _Eier_ 20%",noodles,other,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",tagliatelle,,tagliatelle,kw:tagliatelle
4008366008858,Pappardelle Crème Spinaci,FRoSTA,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:frozen-foods,en:meals,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:durum-wheat-pasta,de:pappardelle","gegarte Bandnudeln (46%) (Wasser, Hartweizengrieẞ) Cherrytomaten (12%) Wasser Blattspinat (10%) Sahne (9%) (für AT: Rahm) Vollmilch Edamer (1,7%) Salz Butter Mehlschwitze (Weizenmehl, Sonnenblumenöl) Schnittlauch Speisequark (für AT: Speisetopfen) Kartoffelstärke Reismehl schwarzer Pfeffer",,tagliatelle,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",,,,unmatched
4013423910418,Hartweizen Nudeln Schlemmerlinge,Riesa,Hartweizen Nudeln,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:noodles",_HARTWEIZENGRIESS_. Kann Spuren von _Ei_ und _Soja_ enthalten.,noodles,other,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",,,,unmatched
4018722343134,Bio Hartweizen Drelli,Alb Gold,Bio Pasta,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:noodles",_Hartweizengrieß_,noodles,,other,fusilli,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",,,,unmatched
4018722343998,Bio Hartweizen Strozzapreti,Alb Gold,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:pastas,en:dry-pastas,it:strozzapreti",Hartweizengrieß*. *aus kontrolliert biologischer Landwirtschaft.,,,other,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",other,,other,kw:specific-shape-no-class
4061458003834,Fusilli,"Aldi, Cucina Nobile",,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:noodles,en:dry-pastas,en:durum-wheat-pasta,af:fusilli","Hartweizengrieß, Wasser. Kann Spuren von Soja und Senf enthalten.",noodles,fusilli,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",fusilli,,fusilli,kw:fusilli
4066447122688,Vollkorn Farfalle,"Aldi, DmBio, dm",Bio Teigwaren aus Vollkorn-Hartweizengrieß,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:noodles,en:dry-pastas,en:durum-wheat-pasta,en:whole-wheat-noodles",Vollkorn-_Hartweizengrieß_* *aus biologischer Landwirtschaft  Kann Spuren von _Soja_ und _Senf_ enthalten.,noodles,farfalle,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",farfalle,,farfalle,kw:farfalle
4075600033853,Kartoffel-Schupfnudeln,Bürger,Kartoffel-Schupfnudeln,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:pastas,en:noodles","64 % Kartoffeln, _Weizenmehl_, 6 % _Vollei_, Stärke, Rapsöl, Speisesalz, Verdickungsmittel Guarkernmehl, Gewürze, Gewürzextrakte",noodles,,noodles,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",other,,other,kw:potato-dumpling
4075600498195,feine Schupfnudeln,K-Classic,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:pastas,en:potatoes-and-their-products,en:gnocchi,en:potato-gnocchi","44% Kartoffeln, Weizenmehl, 7 % Vollei*, Stärke (enthält Weizen), Rapsöl, Speisesalz, Gewürze, Glukosesirup, Stabilisator (Natriumacetate, Natriumcitrate, Ascorbinsäure), Säuerungsmittel: Citronensäure; Gewürzextrakte. *von Eiern aus Bodenhaltung.",,other,noodles,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",other,,other,cat:gnocchi
4104420221536,Rote Linsen Spirelli,Alnatura,Bio-Spirelli aus rotem Linsenmehl,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:pastas,en:lentil-pasta",Kann Spuren von Ei und Soja enthalten.,,,other,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",fusilli,,fusilli,kw:fusilli
4305720077063,Manufaktur Trulli,tegut,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:noodles","Hartweizengrieß* (71%), Frischei* (29 %). *aus kontrolliert ökologischer Erzeugung",noodles,,other,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",other,,other,kw:specific-shape-no-class
4311596410620,Fusilli,"Edeka, Edeka Gut & Günstig, Gut & Günstig",Teigware aus Hartweizengrieß,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:noodles,en:dry-pastas,en:durum-wheat-pasta,af:fusilli,en:dry-durum-wheat-pasta",_Hartweizengrieß_,noodles,fusilli,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",fusilli,,fusilli,kw:fusilli
4388844004078,Tortelloni Spinat Ricotta,REWE Beste Wahl,Frische Eier-Teigwaren mit mild würziger spinat- und ricottahaltiger Füllung,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas","Teig 73% (_Hartweizengrieß_, Wasser, _Vollei_ 8%, Sonnenblumenöl), Füllung 27% (Spinat 24%, _Hartweizengrieß_, Molkeneiweißkäse Ricotta 17% (_Süßmolke_, _Schlagsahne_, _Milch_, Speisesalz, Säuerungsmittel Citronensäure), _Emmentaler_, Sonnenblumenöl, _Weizenmehl_, _Sahne_, jodiertes Speisesalz, Knob...",,,other,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",other,,other,kw:filled-pasta-no-class
4821221008813,Marguerites Ricotta Epinards,L'ITALIE DES PATES,"Pâtes fraîches aux oeufs, à la semoule de blé dur, à la farine de blé tendre, farcies à la ricotta et aux épinards","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:fresh-pasta","RICOTTA 33% (LACTOSÉRUM, LAIT, sel), semoule de BLÉ dur 23%, farine de BLÉ tendre 16%, ŒUF 12%, eau, FROMAGE râpé (LAIT, sel, PRËSURE, conservateur : lyzozyme d'ŒUF), épinards 2%, CHAPELURE (farine de BLÉ, levure, seI), GRANA PADANO DOP (LAIT, sel, présure, conservateur : lyzozyme d'ŒUF), sel, BEURR...",,,other,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",,,,unmatched
5000232024725,Rigatoni,Napolina,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:dry-pastas,en:durum-wheat-pasta,en:dry-durum-wheat-pasta",100% Durum Wheat Semolina.,,rigatoni,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",rigatoni,,rigatoni,kw:rigatoni
5000358443127,Fusilli,Tesco,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:durum-wheat-pasta,af:fusilli","Durum Wheat Semolina. Allergy advice For allergens, including cereals containing gluten, see ingredients in bold.",,fusilli,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",fusilli,,fusilli,kw:fusilli
5052320752782,ORZO,TESCO finest*,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:cereal-semolinas,en:durum-wheat-pasta,en:wheat-semolinas,en:durum-wheat-semolinas,en:italian-pasta,hr:gragnano-tjestenina",Durum _Wheat_ Semolina.,,other,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",other,,other,kw:specific-shape-no-class
5201193111916,whole wheat orzo medio,Melissa,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:pastas,en:wheat-grains","Whole durum wheat flour, water. It may contain traces of mustard.",,other,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",other,,other,kw:specific-shape-no-class
5901384503659,Japanese Beef Wasabi,"Ajinomoto, Oyakata",Nouilles instantanées et sauce - saveur bœuf wasabi,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:dried-products,en:pastas,en:dried-products-to-be-rehydrated,en:noodles,en:instant-noodles","Nudeln 79% [_Weizenmehl_, Palmöl, modifizierte Stärke, Salz, Backtriebmittel: Natriumcarbonate, Kaliumcarbonate], flüssige Sauce 19% [_Sojasauce_ (Wasser, _Sojabohnen_, _Weizen_, Salz), Sonnenblumenöl, Zucker, Geschmacksverstärker: E621, E635; Gewürze: Meerrettich, Ingwer, schwarzer Pfeffer, Piment;...",noodles,noodles,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",,,,unmatched
5948935002629,Pasta d'oro fettuccine de maíz sin gluten,"Sam Mills,Sam Mills Group,Sam Mills The Corn Master",Fettuccine de maíz sin gluten,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:corn-pasta","100% harina de maíz, agua.",,,other,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",tagliatelle,,tagliatelle,kw:tagliatelle
7501014310233,La Moderna Lengua,La Moderna,Pasta de semola de trigo duro,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:dry-pastas,en:durum-wheat-pasta","Semola de trigo durum, hierro, niacina, vitamina B1 (tiamina), vitamina B2(riboflavina) y ácido fólico (folacina)",,,linguine,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",,,,unmatched
7610695002222,Tagliatelle extra fraîche tricolore,Roberto SA Meyrin,Tagliatelle 3 couleurs extra fraîches,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:noodles,en:durum-wheat-pasta,en:egg-pastas,en:fresh-pasta,en:egg-noodles,en:egg-tagliatelle,en:tagliatelle,fr:tagliatelles-fraiches","semoule de blé dur, œuf entier pasteurisé et salé 18% [d'élevage au sol, Suisse, France]), épinards 3%, basilic 1.5%, concentré de tomate 1% (tomate, sel de cuisine), sel de cuisine iodé.",noodles,tagliatelle,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",tagliatelle,,tagliatelle,kw:tagliatelle
7610849896837,"Spätzli, bio","Betty Bossi, bio, naturaplan",,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:spatzle","Wasser, Weizenmehl (Europa, Schweiz, Nord - und Südamerika), Eier (Europa, Schweiz), Kochsalz, Rapsöl.",,other,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",other,,other,kw:spaetzle
7750243058681,Fideos Corbata Grande,Nutregal,pasta de trigo fotificada con vitaminas y minerales tipo farfalle (corbata).,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:dry-pastas,en:durum-wheat-pasta,fr:farfalles,es:farfalle-de-trigo-duro","Harina de trigo fortificada (niacina, hierro, tiamina, riboflavina, ácido fólico), premezcla de vitaminas y minerales (niacina, hierro, zinc, tiamina, riboflavina, vitamina B6, vitamina A, ácido fólico, vitamina B12), colorante (betacaroteno).",,,other,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",farfalle,,farfalle,kw:farfalle
7790070317476,Lasagna,Matarazzo,"pastas de sémola de trigo candeal, fortificadas con vitaminas B3, B1, B2 y B9.","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:dry-pastas,en:durum-wheat-pasta,en:durum-wheat-plates-for-lasagna,en:lasagna-sheets","Sémola de trigo candeal, niacina, tiamina, riboflavina, ácido fólico.",lasagna,lasagna,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",lasagna,,lasagna,kw:lasagna
7790427102090,fideos guiseros semolados,Dintel,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:noodles,en:egg-pastas,en:egg-noodles,en:tagliatelle","harina de trigo enriquecida segun ley 25630 (harina de trigo, hierro, ácido fólico, tiamina, riboflavina, niacina), sémola, colorante (cúrcuma)",noodles,,noodles,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",vermicelli,,vermicelli,kw:vermicelli
7802575011336,Fideos Quifaros (Carozzi),Carozzi,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:durum-wheat-pasta,es:fideos-de-trigo-duro","Sémola de trigos duros seleccionados, Niacina, Hierro (Sulfato Ferroso, Tiamina, Riboflavina. Puede contener huevo. _Gluten",,,noodles,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",vermicelli,,vermicelli,kw:vermicelli
7802575031051,Fusilli Tricolor,Carozzi,pasta mix fusilli tricolor.,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:dry-pastas,en:durum-wheat-pasta,af:fusilli,en:flavored-and-colored-dry-pastas,es:fusilli-de-trigo-duro","Sémola de trigos duros seleccionados, Tomate deshidratado (1,5%), Espinaca deshidratada (0,5%), Niacina, Hierro (Sulfato Ferroso), Tiamina, Riboflavina.",,fusilli,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",fusilli,,fusilli,kw:fusilli
